date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:52	1322/1322	---M--	200	added ('OK')	image/png	etag:%22b4590fd782902df78ee524976a904e78%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac9a5ca74545559542ff_OpenSea.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac9a5ca74545559542ff_OpenSea.png	(from https://nftinstaconnect.com/)
23:05:52	14266/14266	---M--	200	added ('OK')	image/jpeg	etag:%22adb3ce3b1ed697eb85b3134aa81998a0%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/62827dc6a403ef498f8787af_Blocto_Logo%20(1).jpg	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/62827dc6a403ef498f8787af_Blocto_Logo%20(1).jpg	(from https://nftinstaconnect.com/)
23:05:53	9649/9649	---M--	200	added ('OK')	image/jpeg	date:Sat,%2017%20Jul%202021%2016:10:28%20GMT	https://i.ibb.co/smRSptx/c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.jpg	C:/nftinstaconnect/i.ibb.co/smRSptx/c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.jpg	(from https://nftinstaconnect.com/)
23:05:54	16909/16909	---M--	200	added ('OK')	image/jpeg	etag:%22cc46e0cbb9ce278b847d9388284fe81b%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/627bd8b14e1dcb157c571899_BloctoBay-Colored%20(1)%20(1).jpg	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/627bd8b14e1dcb157c571899_BloctoBay-Colored%20(1)%20(1).jpg	(from https://nftinstaconnect.com/)
23:05:54	8801/8801	---M--	200	added ('OK')	image/png	etag:%22e59b57104b4f723148d366031d1e3461%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6a8232dbb56ca4499b_Cryptoys.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6a8232dbb56ca4499b_Cryptoys.png	(from https://nftinstaconnect.com/)
23:05:56	9509/9509	---M--	200	added ('OK')	image/png	etag:%225ca506b940f6606dea2f18ca6eff338c%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac69444f1aa442a80411_Disruptart.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac69444f1aa442a80411_Disruptart.png	(from https://nftinstaconnect.com/)
23:05:59	30626/30626	---M--	200	added ('OK')	image/png	etag:%221d826edfb241522%22	https://seeklogo.com/images/W/walletconnect-logo-EE83B50C97-seeklogo.com.png	C:/nftinstaconnect/seeklogo.com/images/W/walletconnect-logo-EE83B50C97-seeklogo.com.png	(from https://nftinstaconnect.com/)
23:06:00	3784/3784	---M--	200	added ('OK')	image/png	etag:%22598e29475ed9395ccfc09d14d48f9178%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac69ad18981cb8e25514_Dr.Seuss.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac69ad18981cb8e25514_Dr.Seuss.png	(from https://nftinstaconnect.com/)
23:06:00	1122/1122	---M--	200	added ('OK')	image/png	etag:%22ae7fcf170bba641bb89108260228e805%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac698232dbedc3a4499a_Eternal.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac698232dbedc3a4499a_Eternal.png	(from https://nftinstaconnect.com/)
23:06:01	5188/5188	---M--	200	added ('OK')	image/png	etag:%22a96af8df6bd74656c4a37e311c8dbf4f%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6be923e7e39ceb7a50_Fancraze.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6be923e7e39ceb7a50_Fancraze.png	(from https://nftinstaconnect.com/)
23:06:02	4140/4140	---M--	200	added ('OK')	image/png	etag:%2278e9989cadb5cf4d30c1fae315eed217%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6ba22e453936436600_Flovatar.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6ba22e453936436600_Flovatar.png	(from https://nftinstaconnect.com/)
23:06:02	1966/1966	---M--	200	added ('OK')	image/png	etag:%22cefdd0e75d7237c5a4f985f912a555ab%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6bad18987c8ee2552a_Gaia.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6bad18987c8ee2552a_Gaia.png	(from https://nftinstaconnect.com/)
